CHAT_ID,CALL_ID,LOC_OF_CALL,ROLE_ID,CONVERSATION,SPEED,MIN_TONE,MAX_TONE,MIN_VOLUMN,MAX_VOLUMN,STRENGTH,IS_HALT
50,27862,50,2,哦是这样的您是都是缤纷卡嗯每个月是八十块钱的年费,114,74,117,65,50,,0
51,27862,51,1,啊啊您每个月给我发呃他每年每次年费是八十块钱不好意思我说是,107,80,93,53,75,,0
52,27862,52,2,嗯,70,74,86,77,69,,0
53,27862,53,1,哦然后呢,72,77,116,75,74,,1
54,27862,54,2,嗯是这样的您可以通过刷卡消费满五次就可以给您这个八十块钱的年费了,89,58,99,53,63,,0
55,27862,55,1,刷每呃每年商务测试吗,83,49,107,61,52,,1
56,27862,56,2,对嗯而且我们这个刷卡是嗯您说,69,75,107,46,59,,0
57,27862,57,1,哦那个你说吧嗯那,88,53,119,64,75,,1
58,27862,58,2,那就是没有利息对吧,76,46,119,62,61,,1
59,27862,59,1,哦是这样的嗯我们这个是消费分析您您办风趣了欠那个钱数您只要按时还款了嗯我们这个是没有历史的只有一个手续费,72,48,116,75,69,,1
60,27862,60,2,哦就是属于是吧呃账户听说你们送给他还有一个最低还款网页嘛好的吗,89,74,81,70,65,,1
61,27862,61,1,哦是这样的先生嗯我理解您的意思我们我们行确实是有一个最低还款额的嗯而且每次账单的话都会有提示但是很多客户都不知道提示最低还款额是没有分机划算的嗯就说先生那个最低还款额是有嗯它是二利息是每每天万分之五收取的而且他不想说明信息但是分期付款的话费用平摊到每天的话才百万欢,79,46,117,70,64,,1
62,27862,62,2,嗯,77,42,117,71,62,,0
63,27862,63,1,现在外方这样左右嗯它同样是享受免息期的提示在我们办理我们在我们分期办理期间大丰区的话我行有一辈子区分赠送最低还款额是没有积分赠送的而且银行是有最低还款额的还款记录的但是您分期之后每个月按照账单及时把钱还上的话仍然是全额的,104,58,88,60,74,,0
64,27863,64,2,记录啊,108,45,102,53,62,,0
65,27863,65,1,分期办理之后无论您有没有嗯消费在我们的分期期间我们沃行都会给您出账单到时你按照账单嗯信用卡账单其实还款的话就会有多个信用度的嗯信用度的累加多个信用度累加也是我们客户以后申请提额的有利条件之一,81,45,91,68,63,,1
66,27863,66,2,哦好好好嗯好那您办吗嗯,73,51,91,62,68,,1
67,27863,67,1,哦那这边就给您办一个十二期的了好吧,91,53,81,76,71,,1
68,27863,68,2,嗯好,97,52,95,60,68,,1
69,27863,69,1,啊那好的那您的金额是总金额是四万吧分十二个月返的呃方十二个月的话手续费是按照分期总金额设百分之七点收取吧现在给您打八折嗯分期手续费是嗯按照分区总金额的百分之五点七六收取的嗯您的手续费一共是两千七百六十四点八元对吗,90,71,80,51,63,,0
70,27863,70,2,嗯同意,95,65,94,77,79,,0
71,27863,71,1,嗯好的嗯那这边为了确认您是持卡人本人麻烦您说一下您的出生年月日可以吗,102,63,116,70,56,,0
72,27863,72,2,嗯我不记得了,115,56,88,57,74,,1
73,27863,73,1,嗯是这样的嗯先生您就说一下嗯那个您身份证上的营业厅就可以了,114,51,101,41,80,,1
74,27863,74,2,哦是,87,45,111,76,71,,1
75,27863,75,1,呃一九九零年一月一号,96,65,89,57,60,,0
76,27863,76,2,嗯好的嗯那先生我们这边嗯为了您的吃饭嗯我为了保证您的用卡,108,56,117,57,63,,1
77,27863,77,1,嗯我把那您的用卡安全我们这边是有四点提醒温馨提示嗯是需要跟您说清楚的那如果您有什么不懂的可以问我那如果您同意的话您请说同意就可以了可以吗,66,53,114,79,61,,0
78,27863,78,2,嗯可以,107,55,104,73,55,,1
79,27863,79,1,嗯好的那第一点风趣一旦操作成功区舒适不可以修改的这边您同意吗,93,51,104,51,80,,1
80,27864,80,2,喂,77,63,86,46,75,,1
81,27864,81,1,啊您同意吗麻烦您再说一遍我刚没听清,77,45,87,74,62,,0
82,27864,82,2,呃重新,104,60,82,50,67,,0
83,27864,83,1,哦好的那风气一旦操作成功区说是不可以修改的这边您同意吗,64,72,102,66,59,,1
84,27864,84,2,重新,63,65,84,71,64,,0
85,27864,85,1,嗯好的谢谢您的配合那第二点分区手续费会在第七一次性收取中途如果您取消三期分期金额会议听清入账手续费是不会退还的嗯这边已同意吗,84,55,100,62,68,,1
86,27864,86,2,同意,101,66,83,69,76,,1
87,27864,87,1,嗯好的谢谢您的配合那第三点分期金额会暂时占用您的信用额度没怀疑期会自动释放一期释放的额度您还是可以循环使用的这边您同意吗,81,58,115,61,76,,1
88,27864,88,2,统一,71,54,83,68,80,,0
89,27864,89,1,哦好的感谢您的配合那先生还有最后一点分区办理成功之后需要按照账单及时还款不能玩还款时间长达六十天也不能主动把启用卡销户突然分区剩余金额会一次性入账需要一次性皇上退给您同意吗,68,58,117,73,58,,0
90,27864,90,2,嗯,87,51,90,46,61,,0
91,27864,91,1,嗯好的感谢您的配合那这边我们就帮您提交申请嗯上去申请哦处理时间是两个工作日左右成功之后是会有九六六短信给您通知的那没有成功的话您按照账单全额还款就可以了嗯那您的17黄玩手机加手续费一共是嗯六千七百六四点八元以后每个月的话还四千元就好嗯还四千,115,58,82,50,71,,1
92,27864,92,2,嗯请您按照信用卡账单还款好吧,101,69,100,59,58,,0
93,27864,93,1,好,63,49,90,62,54,,1
94,27864,94,2,嗯好的那先生不好意思这边您由于您的手续费不够扣嗯请您今明两天您可以通过我行客服四零零六六九五六六办理零十兆额嗯条件是您只要开卡满六个月欠嗯消费还款记录良好就可以申请无数次我可以提高到您信用额度的百分之二十到百分之三十最高不超过五万有效期是六十天具体以审核为就可以吗,69,76,106,68,53,,0
95,27864,95,1,嗯可以,82,52,100,45,78,,1
96,27864,96,2,嗯好的非常感谢您的配合那这边就不打扰您了祝您生活愉快再见,73,79,100,40,78,,1
97,27864,97,1,嗯好再见再见嗯,112,75,98,63,78,,0
98,27865,98,2,嗯,70,72,87,76,77,,0
99,27865,99,1,嗯,88,62,104,44,55,,0
100,27865,100,2,哎呀喂,98,45,113,49,62,,1
101,27865,101,1,喂您好请问是周益民周先生是吗,95,79,87,43,77,,0
102,27865,102,2,怎么算,77,61,114,53,59,,0
103,27865,103,1,呃请问您是周一民周先生是吗,103,73,89,62,80,,1
104,27865,104,2,啊什么事说,92,68,86,61,72,,1
105,27865,105,1,哦我们刚知道你一直都在使用,117,49,89,47,60,,1
106,27865,106,2,哦您好我们这边是中国银行历史分行我的工号是k１１０８请问呃,116,57,84,79,51,,1
107,27865,107,1,关注到您一直都在使用我号尾号为６４０２的信用卡对吗,78,74,107,45,73,,0
108,27865,108,2,什么是说了呢,106,61,89,41,75,,1
109,27865,109,1,哦感谢您对我行的支持,102,77,108,47,70,,0
110,27865,110,2,呃现在银行主动致电是邀请像您这样的优质客户来参加我行哥干分期送积分活动,66,52,80,55,73,,0
111,27865,111,1,先生我们留意到您,76,44,99,56,70,,0
112,27865,112,2,的您上个月的账单,81,60,107,49,74,,0
113,27865,113,1,哦先生是这样的,69,62,90,57,56,,0
114,27865,114,2,呃如果您现在办理分期送积分活动的话我们还是有很多优惠给您的,65,56,108,77,76,,0
115,27865,115,1,不用,79,50,83,42,60,,0
116,27865,116,2,哦,68,51,108,57,56,,1
117,27865,117,1,如果现在现在您办理的话我们手续费还是可以打八折了,115,69,93,46,56,,0
118,27865,118,2,是非常划算的不如我们这边其他优质客户一样办一个十二期的可以吗,108,79,120,51,57,,1
119,27865,119,1,什么东西啊,75,64,95,77,52,,1
120,27865,120,2,我听不懂,116,60,91,67,57,,1
121,27865,121,1,就是办分期我们现在是按分期送积分活动,93,66,114,78,69,,1
122,27865,122,2,呃我们关注到您,114,49,119,62,63,,1
123,27865,123,1,上个月的账单已经出来了需要在十一月二十七号华,61,55,84,42,53,,1
124,27865,124,2,六千九百零三点六七年是吗,88,58,82,48,68,,0
125,27865,125,1,绑定了还掉,62,44,118,78,75,,0
126,,126,2,还掉了已经是吗,113,53,89,58,51,,1
127,,127,1,哦,107,77,101,65,53,,1
128,,128,2,哦好,77,70,82,74,65,,1
